url,city,price,year,manufacturer,make,condition,cylinders,fuel,odometer,title_status,transmission,VIN,drive,size,type,paint_color,image_url,lat,long
https://amarillo.craigslist.org/ctd/d/2012-gmc-sieraa-2500hd-60/6718199149.html,amarillo,25999,2012,gmc,"sierra 2500hd",good,"8 cylinders",gas,134000,clean,automatic,,4wd,full-size,,black,https://images.craigslist.org/00V0V_8xTWtjozAZj_600x450.jpg,33.1966,-96.6085
https://amarillo.craigslist.org/ctd/d/2012-chevrolet-k2500-ext-cab/6718193822.html,amarillo,10900,2012,chevrolet,2500,excellent,"8 cylinders",gas,,clean,automatic,,4wd,full-size,truck,white,https://images.craigslist.org/00z0z_2QFLPgeX1GK_600x450.jpg,34.7714,-96.9763
https://amarillo.craigslist.org/ctd/d/11-chrysler-town-country/6718192135.html,amarillo,20850,2011,chrysler,"town and country tourin",,,gas,104607,clean,automatic,2A4RR5DG0BR629018,,,,,https://images.craigslist.org/00606_5FnNcD7EwUn_600x450.jpg,32.871517,-96.983271
https://amarillo.craigslist.org/cto/d/1975-camaro/6718160937.html,amarillo,3000,1975,,"1975 Camaro",good,,gas,,missing,automatic,,,,other,blue,https://images.craigslist.org/00707_5HkJEZqxGpa_600x450.jpg,34.837,-102.405
https://amarillo.craigslist.org/cto/d/xc90/6698408808.html,amarillo,3000,2006,volvo,xc90,excellent,"5 cylinders",gas,183000,clean,automatic,,fwd,mid-size,SUV,black,https://images.craigslist.org/00O0O_1xYm98526C8_600x450.jpg,34.837,-102.405
https://amarillo.craigslist.org/cto/d/1995-pontiac-grand-prix-se/6713153873.html,amarillo,2300,1995,pontiac,"",,,gas,,clean,automatic,,,mid-size,,white,https://images.craigslist.org/01616_jZ3ncS3Tv2N_600x450.jpg,35.1545,-101.8641
https://amarillo.craigslist.org/cto/d/2003-buick/6718146213.html,amarillo,3700,2003,buick,"",,,gas,45000,rebuilt,automatic,,,,,red,https://images.craigslist.org/00101_8FTaSakt7u_600x450.jpg,35.208832,-102.207828
https://amarillo.craigslist.org/ctd/d/2012-chevrolet-k2500hd-long/6718149008.html,amarillo,13900,2012,chevrolet,k2500,excellent,"8 cylinders",gas,,clean,automatic,,4wd,full-size,truck,white,https://images.craigslist.org/00Z0Z_6eaNQzjbuzx_600x450.jpg,34.7714,-96.9763
https://amarillo.craigslist.org/cto/d/2003-century/6716001503.html,amarillo,3000,2003,buick,century,excellent,"6 cylinders",gas,,clean,automatic,,fwd,mid-size,sedan,,https://images.craigslist.org/00o0o_awRM0UxSut5_600x450.jpg,35.208832,-102.208328
https://amarillo.craigslist.org/cto/d/project-truck-1993-gmc/6710487867.html,amarillo,875,1993,gmc,"",fair,"8 cylinders",gas,123000,clean,automatic,,rwd,full-size,pickup,green,https://images.craigslist.org/00v0v_5LORaLLtJNS_600x450.jpg,35.208891,-102.207205
https://amarillo.craigslist.org/cto/d/2005-saab-arcmonte-carlo/6718135191.html,amarillo,3500,2005,,Saab,good,,gas,,clean,manual,,,,,,https://images.craigslist.org/00e0e_bYyQzt45GmI_600x450.jpg,35.163319,-101.866693
https://amarillo.craigslist.org/cto/d/2006-chevy-colorado/6713401777.html,amarillo,4800,2006,chevy,colorado,good,"4 cylinders",gas,141220,clean,automatic,1GCCS148868303938,,,,white,https://images.craigslist.org/00202_c0iBm4xZ2T1_600x450.jpg,35.218629,-101.847751
https://amarillo.craigslist.org/ctd/d/2007-ford-expedition/6718084085.html,amarillo,7500,2007,ford,"expedition eddie bauer",good,"8 cylinders",gas,116900,clean,automatic,1fmfu17517la73422,rwd,full-size,SUV,,https://images.craigslist.org/00Z0Z_gfiSLeQKhu0_600x450.jpg,35.182799,-101.838068
https://amarillo.craigslist.org/cto/d/2000-jeep-cherokee-sport/6711478216.html,amarillo,3000,2000,jeep,"cherokee sport",good,"6 cylinders",gas,217552,clean,automatic,,4wd,,offroad,white,https://images.craigslist.org/00y0y_lThDO9tq0Vx_600x450.jpg,35.1545,-101.8641
https://amarillo.craigslist.org/ctd/d/2008-nissan-xterra/6718079340.html,amarillo,5900,2008,nissan,xterra,good,"6 cylinders",gas,159800,rebuilt,automatic,,rwd,mid-size,SUV,black,https://images.craigslist.org/00n0n_49r1UOA0rST_600x450.jpg,35.182799,-101.838068
https://amarillo.craigslist.org/ctd/d/2011-ford-150-fx4/6718072042.html,amarillo,18900,2011,ford,"f150 fx4",excellent,"8 cylinders",gas,67600,rebuilt,automatic,,4wd,full-size,pickup,red,https://images.craigslist.org/00404_iCh5T7zyfVP_600x450.jpg,35.182799,-101.838068
https://amarillo.craigslist.org/cto/d/2009-subaru-forester/6698176940.html,amarillo,7495,2009,subaru,forester,good,"4 cylinders",gas,202000,clean,automatic,Jf2sh63699h756771,4wd,mid-size,SUV,white,https://images.craigslist.org/00s0s_iI3nRq4P0QI_600x450.jpg,35.1783,-101.857349
https://amarillo.craigslist.org/cto/d/1987-chevy-monti-carlo/6718015272.html,amarillo,1000,1987,chevy,"monte carlo",fair,"8 cylinders",gas,,clean,automatic,,rwd,full-size,sedan,,https://images.craigslist.org/00t0t_4u7u8Cwq3ge_600x450.jpg,35.2779,-101.83
https://amarillo.craigslist.org/cto/d/06-gmc-sierra-v8/6703414519.html,amarillo,7500,2006,gmc,"sierra 1500",excellent,"8 cylinders",gas,,clean,automatic,,,,,,https://images.craigslist.org/00y0y_cr93rfeFtHw_600x450.jpg,35.1751,-101.7976
